CODE,METRO_STATION,METRO_LINE,CENTER,DISTRICT_CODE,DISTRICT_NAME,TYPE,FLOORS,ROOF_TYPE,N_of_RECEDING_FLOORS,N_of_FLOORS_SLOPE,NEW_BUILDING,DB_LOW,DB_HIGHT,PRICE_COMPLETE
3971,,,0,500089,Praha 2,4,1,1,0,0,0,40,45,N
4069,Vyšehrad,C,0,500089,Praha 2,4,3,3,0,0,0,45,50,7060
4000,Vyšehrad,C,0,500089,Praha 2,6,1,3,0,0,0,60,65,11680
3986,Vyšehrad,C,0,500089,Praha 2,7,5,1,0,0,0,55,60,12840
15747,,,0,500089,Praha 2,7,4,1,0,0,0,40,45,N
391000,Karlovo náměstí,B,1,500089,Praha 2,7,5,1,0,0,0,55,60,19020
15737,I. P. Pavlova,C,0,500089,Praha 2,7,4,1,0,0,0,35,40,17910
389800,Karlovo náměstí,B,1,500089,Praha 2,7,5,1,0,0,0,55,60,N
15301,I. P. Pavlova,C,0,500089,Praha 2,7,5,1,2,0,0,10,15,N
4074,Náměstí Míru,A,0,500089,Praha 2,7,5,1,0,0,0,35,40,N
18000,,,0,500089,Praha 2,7,3,1,0,0,0,65,70,N
4085,Náměstí Míru,A,0,500089,Praha 2,7,5,1,0,0,0,35,40,19610
15714,Náměstí Míru,A,0,500089,Praha 2,7,4,1,0,0,0,35,40,19610
389200,I. P. Pavlova,C,1,500089,Praha 2,7,4,1,1,0,0,15,20,N
4057,,,0,500089,Praha 2,7,4,1,0,0,0,35,40,5740
390600,Karlovo náměstí,B,1,500089,Praha 2,7,3,1,0,0,0,60,65,N
394600,I. P. Pavlova,C,1,500089,Praha 2,7,4,1,0,0,0,40,45,33090
394700,I. P. Pavlova,C,1,500089,Praha 2,7,5,1,0,0,0,60,65,30150
4052,,,0,500089,Praha 2,7,4,1,0,0,0,45,50,N
15748,Náměstí Míru,A,0,500089,Praha 2,7,6,1,0,0,0,30,35,N
395000,I. P. Pavlova,C,1,500089,Praha 2,7,3,1,0,0,0,35,40,N
3984,Vyšehrad,C,0,500089,Praha 2,7,5,1,0,0,0,55,60,N
3983,Vyšehrad,C,0,500089,Praha 2,7,5,1,0,0,0,55,60,N
4037,Jiřího z Poděbrad,A,0,500089,Praha 2,7,5,1,0,0,0,60,65,N
4076,I. P. Pavlova,C,0,500089,Praha 2,7,5,1,0,0,0,35,40,N
3982,Vyšehrad,C,0,500089,Praha 2,7,3,1,0,0,0,40,45,16920
388401,Karlovo náměstí,B,1,500089,Praha 2,7,6,1,1,0,0,40,45,70310
4078,Náměstí Míru,A,0,500089,Praha 2,7,4,1,0,0,0,30,35,18070
3919,,,0,500089,Praha 2,7,4,1,0,0,0,60,65,12840
13337,Vyšehrad,C,0,500089,Praha 2,7,5,1,0,0,0,40,45,12840
388800,Karlovo náměstí,B,1,500089,Praha 2,7,5,1,0,0,0,15,20,37500
15718,Vyšehrad,C,0,500089,Praha 2,7,5,1,0,0,0,55,60,12840
4084,Jiřího z Poděbrad,A,0,500089,Praha 2,11,1,0,0,0,0,35,40,N
2975,,,0,500097,Praha 3,,,,,,,60,65,N
20150,,,0,500097,Praha 3,,,,,,,35,40,6310
2951,,,0,500097,Praha 3,,,,,,,30,35,3660
14319,,,0,500097,Praha 3,,,,,,,50,55,7810
4101,Flora,A,0,500097,Praha 3,,,,,,,0,5,30670
4107,Flora,A,0,500097,Praha 3,,,,,,,60,65,16270
3131,,,0,500097,Praha 3,,,,,,,60,65,7530
2974,,,0,500097,Praha 3,,,,,,,30,35,N
14032,Želivského,A,0,500097,Praha 3,,,,,,,35,40,6310
14401,,,0,500097,Praha 3,,,,,,,45,50,11380
2985,,,0,500097,Praha 3,,,,,,,30,35,4620
2932,,,0,500097,Praha 3,,,,,,,40,45,N
2928,,,0,500097,Praha 3,,,,,,,60,65,10000
